title,blurb,slug,tags,Who is doing,What should it offer?,Notes
Freeze/Thaw Cycle,Annual count of days with low temperature below freezing and high temps above freezing.,indicator-ftc,Climate,,"Map showing historical, mid- and late- century FTC.  Gimme widget to get a MMM table across all models, and links to CSV.",
Maximum 1-day Precipitation,Maximum precipitation in a single calendar year.,indicator-rx1day,"Climate, Precipitation",,"Map showing historical, mid- and late- century RX1Day, for both CMIP5 and CMIP6.  Gimme widget to get a MMM table across all models, and links to CSV.",
Maximum 5–day precipitation,Maximum precipitation total for any 5-day period ,indicator-rx5day,"Climate, Precipitation",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Summer Days,Annual count when daily max temperature (threshold) >25°C,indicator-su,Climate,,"Map showing historical, mid- and late- century SU, for both CMIP5 and CMIP6.  Gimme widget to get a MMM table across all models, and links to CSV.",
Deep Winter Days,Annual count when daily min temperature (threshold) <-30°C,indicator-dw,Climate,,"Map showing historical, mid- and late- century DW, for both CMIP5 and CMIP6.  Gimme widget to get a MMM table across all models, and links to CSV.",
Hot Day Threshold,The highest observed daily maximum 2 m air temperature such that there are 5 other observations equal to or greater than this value.,indicator-hd,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
Cold Day Threshold,The lowest observed daily minimum 2 m air temperature such that there are 5 other observations equal to or less than this value.,indicator-cd,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
Warm Spell Duration Index,Annual count of occurrences of at least 5 consecutive days with daily mean 2 m air temperature above 90th percentile of historical values for the date,indicator-wsdi,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
Cold Spell Duration Index,Annual count of occurrences of at least 5 consecutive days with daily mean 2 m air temperature below 10th percentile of historical values for the date,indicator-cdsi,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
Heavy Precipitation Days,Number of days with ≥ 10mm precipitation,indicator-r10mm,"Climate, Precipitation",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Consecutive wet days,Number of the most consecutive days with precipitation > 1 mm,indicator-cwd,"Climate, Precipitation",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Consecutive dry days,Number of the most consecutive days with precipitation < 1 mm,indicator-cdd,"Climate, Precipitation",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Evapotranspiration,Monthly sum of daily evapotranspiration,hydrology-evap,"Climate, Hydrology",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Glacier Melt,Monthly sum of daily glacier ice melt,hydrology-glacier-melt,"Climate, Hydrology",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Ice Water Equivalent,Monthly maximum daily ice water equivalent,hydrology-iwe,"Climate, Hydrology",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Runoff,Monthly sum of daily surface runoff,hydrology-runoff,"Climate, Hydrology",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Snow Water Equivalent,Monthly maximum of daily snow water equivalent,hydrology-swe,"Climate, Hydrology",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Soil Moisture,Monthly mean of daily soil moisture in layers 1-3,hydrology-sm,"Climate, Hydrology",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Snow Melt,Monthly sum of daily snowmelt,hydrology-snow-melt,"Climate, Hydrology",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Landfast Sea Ice Extent,Historical daily landfast ice extent information for the Alaska coastline,landfast-sea-ice,Cryosphere,,Map; gimme for JSON and CSV,
Places & Polygons,"Names, coordinates, and boundaries to integrate with other data",communities,GIS,,Map with community markers? Maybe use marker clustering because it will be dense with communities. Gimme for JSON and CSV.,
Ground Temperature,"Mean annual ground temperature value, surface - 5m",permafrost-magt,"Climate, Permafrost",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Permafrost Depth: Base & Top,,permafrost-base-top,"Climate, Permafrost",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Talik Thickness,Thickness of permafrost talik layer,permafrost-talik,"Climate, Permafrost",,"Map (historical, mid, late); gimme for MMM, links to CSV",
Wet Days Per Year,Number of days per calendar year where the total precipitation amount is ≥ 1.0 mm,wet-days-per-year,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
Sea Ice Concentration,Monthly pan-Arctic sea ice concentration data at a resolution of approximately 17.1km for years 1850–2021,sea-ice-concentration,Cryosphere,,Link to HSIA.  Gimme for the timeseries for lat/lng.,
Climate Protection from Spruce Beetles,Level to which climate protects against spruce beetle outbreaks,climate-beetle-protection,"Climate, Terrestrial",,"Map (historical, mid, late); gimme for JSON, links to CSV",
Degree Days Below 65°F,Total annual cumulative degree days below 65°F,dd-below-65,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
Degree Days Below 0°F,Total annual cumulative degree days below 0°F,dd-below-0,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
Thawing Index,Total annual cumulative degree days above 32°F,thawing-index,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
